Herkunftsort,URI
Kurzdorf TG,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Rüti,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Feuerthalen,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Herisau AR,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Kappel am Albis,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Hattingen (Deutschland),https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Sachsen (Deutschland),https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Neftenbach,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Eschenberg,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Chur GR,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Veltheim,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Flawil SG,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Uhwiesen,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Oetwil,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Gachnang TG,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Kappel SG,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Colmar (Frankreich),https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Bassersdorf,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Mülhausen (Frankreich),https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Besmer TG,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Lichtensteig SG,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Wallisellen,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Thurgau,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Niederweningen,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Enge,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Kefikon,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Otelfingen,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Wagenhausen TG,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Wellhausen TG,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Rorbas,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Wattwil SG,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Raab (Ungarn),https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Gottlieben TG,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Reutlingen,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Diessenhofen TG,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Uster,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Zurzach AG,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Teufenthal AG,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Vaud,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Benken,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Wiedikon,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Ilanz GR,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Ossingen,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Ellikon an der Thur,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Kobel SG,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Tägerwilen TG,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Herbishofen (Deutschland),https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Engstringen,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Halingen TG,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Oberstrass,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Hagenbuch,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Aawangen TG,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Huzenwil TG,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Matzingen TG,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Oberhofen (Turbenthal),https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Gerlikon TG,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Burg TG,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Schlatt,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Hutzikon,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Stettfurt TG,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Birmenstal,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Moos TG,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Stegen,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Rüetschberg,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Eich SG,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Kappel,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Wetzikon TG,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Ristenbühl TG,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Wittenwil TG,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Schneit,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Erzenholz TG,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Neunforn TG,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Bausel TG,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Oberschneit,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Dussnang TG,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Heiterschen TG,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Steig TG,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Adlikon,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Lettenberg,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Schneitberg,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Hofstetten,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Neubrunn (Turbenthal),https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Pfyn TG,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Herten TG,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Häuslenen TG,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Langdorf TG,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Osterhalden TG,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Jonschwil SG,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Hagenstall,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Affoltern am Albis,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Haggenberg,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Weiern TG,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Oberwangen TG,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Höfli TG,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Küsnacht,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Krillberg TG,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Meisberg,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Felben TG,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Islikon TG,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Oberschnasberg,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Oberschlatt,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Schwendi,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Nussberg,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Welfensberg TG,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Affeltrangen TG,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Neubrunn,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Nassen SG,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Bertschikon,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Untertuttwil TG,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Allenwil,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Tanne,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Bauma,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Riet (Wald),https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Adetswil,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Hinteregg,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Wellenau,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Trossberg,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Balm,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Gublen,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Kleinbäretswil,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Laupen,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Bettswil,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Gibswil,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
Bäretswil,https://github.com/stazh/sw-ehedaten/tree/main/data/PlaceName_00001
