Band-Signatur,Anzahl
Altstetten,TAI 1.868; StadtAZH VIII.C. 172.,425
Lindau,E III 69.2,511
Lindau,E III 69.1,322
Greifensee,E III 45.1,198
Greifensee,E III 45.2,244
Greifensee,E III 45.3,89
Greifensee,E III 45.4,99
Töss,TAI 1.718; StadtA Winterthur TJB 1,576
Zumikon,E III 150.2,314
Zumikon,E III 150.1,274
Schöfflisdorf,E III 105.1,538
Küsnacht,E III 65.1,910
Küsnacht,E III 65.3,1118
Fällanden,E III 38.1,603
Thalwil,E III 121.1,651
Wangen,E III 135.2,635
Uitikon,E III 127.2,46
Uitikon,E III 127.1,328
Oberwinterthur,TAI 1.710 (Teil 2); StadtA Winterthur OJB 3,1284
Wallisellen,E III 134.1,481
Fehraltorf,E III 39.1,1363
Fehraltorf,E III 39.2,359
Aawangen,TAI 3.7; StATG Slg. 13.2.0/8,302
Grossmünster,TAI 1.742 (Teil 1); StadtAZH VIII.C. 8.,1375
Höngg,TAI 1.874 (Teil 3); StadtAZH VIII.C. 178.,1000
Weiningen,E III 137.1,105
Weiningen,E III 137.3,804
Weiningen,E III 137.2,645
Albisrieden,TAI 1.865; StadtAZH VIII.C. 169.,976
Bichelsee,TAI 3.16; StATG Slg. 13.2.0/64,451
Fraumünster,TAI 1.749; StadtAZH VIII.C. 15.,793
Predigern,TAI 1.769 (Teil 3); StadtAZH VIII.C. 35.,371
Feuerthalen,E III 40.1,448
Feuerthalen,E III 40.2,179
Winterthur,TAI 1.728; StadtA Winterthur B 3 m/4,1464
Wil,E III 141.2,733
Wil,E III 141.1,1242
Marthalen,E III 72.2,95
Uesslingen,TAI 3.43; StATG Slg. 13.2.0/354,240
Sternenberg,E III 119.1,599
Sternenberg,E III 119.2,211
Predigern,TAI 1.768 (Teil 2); StadtAZH VIII.C. 34.,1563
Marthalen,E III 72.1,1217
Bäretswil,E III 10.2,432
Regensberg,E III 92.1,247
Lufingen,E III 70.1,342
Ossingen,E III 86.1,469
Ossingen,E III 86.2,1206
Ossingen,E III 86.3,285
Aeugst am Albis,E III 2.1,569
Oberglatt,E III 81.2,589
Oberglatt,E III 81.1,291
Kilchberg,E III 62.2,880
Mettmenstetten,E III 76.2,593
Mettmenstetten,E III 76.1,889
Wädenswil,E III 132.2,974
Elsau,E III 35.1,628
Bassersdorf,E III 11.3,286
Bassersdorf,E III 11.2,1811
Bassersdorf,E III 11.1,1391
