Männervorname,URI
Kleinulrich,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00109
Valentin,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00110
Fridolin,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00111
Welti,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00112
Lienhard,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00113
Leonhard,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00114
Johann Jakob,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00115
Kleinjakob,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00116
Johann Rudolf,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00117
Meinrad,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00118
Johann Christian,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00119
Luca,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00120
Stefan,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00121
Gerold,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00122
Hartmann,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00123
Beat,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00124
Fabian,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00125
Johann Peter,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00126
Josef,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00127
Johann Heinrich,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00128
Johann Antoni,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00129
Johann Konrad,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00130
Wilpert,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00131
Johann Ulrich,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00132
Joder,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00133
Dietrich,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00134
Lazarus,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00135
Burkhard,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00136
Gilg,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00137
Hans Melchior,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00138
Grosshans,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00139
Toni,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00140
Vitali,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00141
Thöni,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00142
Gorius,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00143
Michel,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00144
Hans Martin,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00145
Theodor,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00146
Urs,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00147
Aegidius,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00148
Jodokus,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00149
Sixt,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00150
Dionysius,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00151
Sigmund,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00152
Augustin,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00153
Hans Wilhelm,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00154
Hans Joachim,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00155
Jakob Christoph,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00156
Hans Dietrich,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00157
Constans,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00158
Diebold,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00159
Klewi,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00160
Richard,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00161
Apollonius,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00162
Kleinheinrich,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00163
Walter,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00164
Hans Beat,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00165
N.,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00166
Reuchli,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00167
Ostimus,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00168
Hanselmann,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00169
Lamprecht,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00170
Lux,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00171
Hani,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00172
Hans Jonas,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00173
Bonifaz,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00174
Bläsi,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00175
Samson,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00176
Jost,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00177
Simeon,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00178
Moritz,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00179
Kleinfelix,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00180
Achior,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00181
Markus,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00182
Ambrosius,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00183
Hansenbub,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00184
Hans Fridli,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00185
Vit,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00186
Damast,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00187
Hans Hartmann,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00188
Hans Theobald,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00189
Kleinmann,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00190
Heinimann,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00191
Kleingeorg,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00192
Hilarius,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00193
Hans Erhard,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00194
Eusebius,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameMan_00195
