Nachname,URI
Weidmann,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Weidmann
Wirtenberger,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Wirtenberger
Biedermann,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Biedermann
Huggenberger,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Huggenberger
Wülser,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Wuelser
Baumgartner,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Baumgartner
Widmer,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Widmer
Riedweg,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Riedweg
Meisterhans,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Meisterhans
Gisler,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Gisler
Morf,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Morf
Galli,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Galli
Müssa,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Muessa
Rengger,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Rengger
Provenz,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Provenz
Baumer,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Baumer
Karrer,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Karrer
Müller,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Mueller
Blatter,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Blatter
Zehnder,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Zehnder
Troll,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Troll
Jäger,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Jaeger
Stürer,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Stuerer
Wirz,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Wirz
Leuenberger,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Leuenberger
Schante,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Schante
Boringa,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Boringa
Sigg,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Sigg
Richi,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Richi
Sulzberger,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Sulzberger
Haggenmacher,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Haggenmacher
Vetter,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Vetter
Zuberer,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Zuberer
Kolmar,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Kolmar
Heller,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Heller
Fluck,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Fluck
Künzli,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Kuenzli
Thomann,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Thomann
Eberli,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Eberli
Schmidli,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Schmidli
Bochin,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Bochin
Egolf,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Egolf
Kuhn,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Kuhn
Roth,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Roth
Maugg,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Maugg
Hedinger,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Hedinger
Waldiker,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Waldiker
Stüdli,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Stuedli
Ammann,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Ammann
Heer,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Heer
Burri,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Burri
Bader,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Bader
Thumysen,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Thumysen
Dickbucher,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Dickbucher
Egli,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Egli
Wydler,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Wydler
Hauser,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Hauser
Schüeber,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Schueeber
Brennwald,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Brennwald
Rüdlinger,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Ruedlinger
Stapfer,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Stapfer
