Frauenvorname,URI
Kleinmargaretha,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00125
Ruth,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00126
Hedwig,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00127
Tilio,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00128
Walpurg,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00129
Justina Barbara,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00130
Cordelia,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00131
Claudia,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00132
Bersabea,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00133
Jahel,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00134
Dulgiona,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00135
Chrischona,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00136
Margaretha Barbara,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00137
Justitia,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00138
Burga,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00139
Quiteria,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00140
Fortunata,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00141
Merata,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00142
Benigna,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00143
Scholastika,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00144
Guta,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00145
Luziana,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00146
Anastasia,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00147
Caritas,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00148
Clement,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00149
Evinteria,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00150
Engeli,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00151
Quinteria,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00152
Lukrezia,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00153
Isabella,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00154
Juliana,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00155
Susanna Ursula,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00156
Verema,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00157
Acefast,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00158
Eliberia,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00159
Christiana,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00160
Sina,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00161
Julia,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00162
Lucia,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00163
Maria Kassandra,https://github.com/stazh/sw-ehedaten/data/archiving#FirstNameWoman_00164
