Kirchgemeinde,URI
Neftenbach,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Neftenbach
Niederhasli,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Niederhasli
Andelfingen,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Andelfingen
Niederweningen,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Niederweningen
Oberglatt,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Oberglatt
Oetwil am See,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Oetwil_am_See
Ossingen,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Ossingen
Otelfingen,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Otelfingen
Ottenbach,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Ottenbach
Pfäffikon,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Pfaeffikon
Pfungen,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Pfungen
Rafz,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Rafz
Regensberg,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Regensberg
Regensdorf,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Regensdorf
Richterswil,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Richterswil
Rickenbach,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Rickenbach
Rifferswil,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Rifferswil
Rorbas,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Rorbas
Rümlang,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Ruemlang
Oberwinterthur,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Oberwinterthur
Seen,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Seen
Töss,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Toess
Grossmünster,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Grossmuenster
Fraumünster,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Fraumuenster
Affoltern,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Affoltern
Albisrieden,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Albisrieden
Altstetten,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Altstetten
Höngg,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Hoengg
Seebach,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Seebach
Witikon,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Witikon
St. Peter,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_St._Peter
Predigern,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Predigern
Wipkingen,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Wipkingen
Veltheim,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Veltheim
Wülflingen,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Wuelflingen
Bachs,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Bachs
Dielsdorf,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Dielsdorf
Dübendorf,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Duebendorf
Hittnau,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Hittnau
Maur,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Maur
Oberrieden,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Oberrieden
Rüschlikon,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Rueschlikon
Schöfflisdorf,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Schoefflisdorf
Schönenberg,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Schoenenberg
Schwerzenbach,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Schwerzenbach
Seuzach,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Seuzach
Hütten,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Huetten
Kyburg,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Kyburg
Langnau am Albis,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Langnau_am_Albis
Spitalpfarramt,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Spitalpfarramt
Wollishofen,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Wollishofen
Schwamendingen-Oerlikon,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Schwamendingen-Oerlikon
Neunforn,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Neunforn
Sternenberg,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Sternenberg
Zürich,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Zuerich
Wallisellen,https://github.com/stazh/sw-ehedaten/tree/main/data#Parish_Wallisellen
