Nachname,URI
Schiffer,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Schiffer
Hattler,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Hattler
Willy,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Willy
Trost,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Trost
Bryner,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Bryner
Labhard,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Labhard
Neher,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Neher
Meierhofer,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Meierhofer
Spörri,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Spoerri
Juler,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Juler
Hediger,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Hediger
Wonnenberger,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Wonnenberger
Walliker,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Walliker
Ludwig,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Ludwig
Stuker,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Stuker
Riescher,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Riescher
von Landenberg,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_von_Landenberg
Manndorfrer,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Manndorfrer
Othmar,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Othmar
Reust,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Reust
Olian,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Olian
Wehren,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Wehren
Hauenstein,https://github.com/stazh/sw-ehedaten/tree/main/data#FamilyName_Hauenstein
