Männervorname,URI
Fritz,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Fritz
Hans Siegfried,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Hans_Siegfried
Schwideri,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Schwideri
Hans Albrecht,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Hans_Albrecht
Clemens,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Clemens
Polonius,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Polonius
Georg Andreas,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Georg_Andreas
Thomas Franz Heinrich,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Thomas_Franz_Heinrich
Hansenbübli,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Hansenbuebli
Johann Samuel,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Johann_Samuel
Ruprecht,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Ruprecht
Apollinaris,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Apollinaris
Adam Christoph,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Adam_Christoph
Johann Ulrich,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Johann_Ulrich
Bonifaz,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Bonifaz
Samuel Franz,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Samuel_Franz
Hans Lux,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Hans_Lux
Salomon,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Salomon
Itelhans,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Itelhans
Wilhelm Heinrich,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Wilhelm_Heinrich
Hans Michael,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Hans_Michael
Beat Wilhelm,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Beat_Wilhelm
Baptista,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Baptista
Dionysius,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Dionysius
Heinrich Rudolf,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Heinrich_Rudolf
Paul Friedrich,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Paul_Friedrich
Johann,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Johann
Alois,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Alois
Hans Heinrich,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Hans_Heinrich
Salomon Friedrich,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Salomon_Friedrich
Georg Sigmund,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Georg_Sigmund
Josabe,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Josabe
Christoph Gottlieb,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Christoph_Gottlieb
Franz Josef,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Franz_Josef
Achilles,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Achilles
Karl Jeremias Friedrich,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Karl_Jeremias_Friedrich
Timotheus,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Timotheus
Hans Dietrich,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Hans_Dietrich
Georg Ernst,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Georg_Ernst
Johann Karl,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Johann_Karl
Beat Joachim,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Beat_Joachim
Welti,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Welti
Walter,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Walter
Johann Karl Moritz,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Johann_Karl_Moritz
Georg Peter,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Georg_Peter
Johann Werner,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Johann_Werner
Josef,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Josef
Kunz,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Kunz
Johann Fortunat,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Johann_Fortunat
Konrad,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Konrad
Weerli,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Weerli
Hans Itel,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Hans_Itel
Johann Stefan,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Johann_Stefan
Hans Bilgeri,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Hans_Bilgeri
Johann Anton Christian,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Johann_Anton_Christian
Philipp Jakob,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Philipp_Jakob
Abraham Heinrich,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Abraham_Heinrich
Jean Claude,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Jean_Claude
Philipp,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Philipp
Hans Andreas,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Hans_Andreas
Laurenz,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Laurenz
Ulrich.,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Ulrich
Anstatt,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Anstatt
Emanuel,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Emanuel
Degen,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Degen
Urs,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Urs
Hans Adi,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Hans_Adi
André,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Andre
Grosshans,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Grosshans
Hans Heinrich Karl,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Hans_Heinrich_Karl
Zacharias,https://github.com/stazh/sw-ehedaten/tree/main/data#FirstNameMan_Zacharias
